l1Pt,l1Eta,l1Phi,l1E,l2Pt,l2Eta,l2Phi,l2E
41.18442,0.74265,3.01280,53.07327,35.71194,0.00206,-0.40203,35.71201
25.44842,0.52455,3.09956,29.03053,46.22017,1.75825,-0.57499,138.07341
36.81827,-2.62980,-0.08423,256.67990,18.21522,-1.62213,2.42198,47.91821
39.57840,0.77501,-1.74261,52.07143,27.12636,-0.65067,1.25019,33.07407
25.87474,1.72956,-0.21498,75.23761,24.11371,3.82146,2.95623,550.90967
44.65017,-0.24484,-0.49837,45.99520,36.87961,0.44230,2.82956,40.54617
35.35635,-0.84013,2.80104,48.58524,37.37736,0.03557,-0.53798,37.40100
24.63135,-0.18813,-2.11547,25.06854,46.20264,1.08625,1.34437,76.24895
65.31985,1.04123,0.55857,104.04548,27.47624,0.50064,-1.67217,30.99211
34.06664,1.19371,0.11083,61.36057,24.18848,-0.59259,-2.47211,28.56127
32.64973,-3.63273,-0.95066,617.76843,42.90796,-3.60502,1.93535,789.71527
27.68890,0.03761,0.43860,27.70848,41.26173,1.24351,-2.92577,77.49202
14.86602,-1.00579,2.59746,23.04104,24.77026,-3.81634,-1.79555,563.02374
49.50616,2.98551,1.51435,491.27765,23.41194,4.23605,-0.67319,809.45166
47.51712,1.67620,1.26313,131.43982,40.33580,2.55043,3.12351,259.97833
33.40602,0.96309,-2.69449,50.13390,46.26606,0.51823,0.40065,52.61893
37.03145,2.28433,-1.17088,183.69388,31.66922,3.64265,1.19686,605.18213
33.99230,0.24882,3.09984,35.04999,40.63995,-0.58516,-0.38457,47.79866
47.79627,-2.77151,-1.14734,383.45459,32.69682,-2.44264,1.88957,189.48320
41.33319,2.57698,1.57006,273.48709,29.42307,3.63715,-1.58245,559.18231
33.76338,1.71221,-0.18696,96.59113,23.05369,-0.11453,-2.92226,23.20505
32.94412,1.90619,2.28363,113.26250,58.29292,2.77519,-2.00758,469.37711
25.14835,-4.41414,1.75922,1038.90967,6.55203,-0.73582,0.46456,8.40724
31.44929,-3.09123,0.80799,346.72046,32.80577,-4.73713,-2.44419,1871.81958
38.60302,-3.32059,1.18689,534.89868,39.50581,-3.23609,-2.71752,503.17191
44.01810,-1.24504,-0.18117,82.77598,32.47968,-0.50087,2.86433,36.63970
46.77873,2.57155,-2.98791,307.86392,33.99136,2.58604,-0.04060,226.93315
26.30683,-0.17347,1.41517,26.70365,31.80540,1.55461,-2.08114,78.63138
14.04997,0.04093,-0.88822,14.06174,14.65338,-3.38864,2.13799,217.30565
30.60804,-2.99141,-0.60396,305.52795,39.99072,-4.54902,3.04282,1890.57446
34.08165,2.64918,-2.10456,242.20332,30.98268,3.96584,0.89643,817.68964
11.82063,4.44805,0.52736,505.16348,15.66712,0.83071,0.65481,21.39097
17.06340,1.00301,0.35288,26.39070,8.65411,-2.80111,0.18785,71.49839
35.77764,-3.71635,-2.13959,735.91406,32.13927,-2.63484,0.93365,225.18184
29.60328,1.80186,-0.19164,92.15332,39.05784,0.71009,2.65733,49.32564
20.05175,2.96559,-0.55142,195.08032,29.31555,0.84657,2.30139,40.46306
29.42545,-2.12004,-2.50217,124.34464,92.35731,-3.64065,-2.69266,1761.38892
36.40746,3.31671,2.28167,502.52655,36.58186,4.38915,-0.41605,1473.96582
16.71949,-0.81576,1.15613,22.59797,34.87920,1.33512,-1.94993,70.86723
36.54220,-1.36520,-2.08287,76.22393,29.05368,0.13552,1.47732,29.32090
32.75015,-1.97762,-2.10367,120.58517,31.45219,-3.38423,1.12837,464.38010
34.84619,-2.60457,-2.73130,236.94199,35.58951,-3.70810,0.32468,726.03711
53.21349,2.25000,2.34744,255.24249,28.76937,2.89599,-1.34359,261.17654
21.80782,3.13831,1.51297,251.97041,23.05900,0.74989,-1.50962,29.85203
26.13054,2.77958,0.95471,211.32207,31.44957,4.52991,-2.24545,1458.64014
41.79667,1.55738,-0.49178,103.59444,35.42236,2.14512,2.83092,153.38156
27.14233,-0.12670,-2.73681,27.36048,23.12259,1.67009,0.71518,63.59750
54.38632,0.33520,2.61258,57.47045,5.49449,3.32796,0.00332,76.69534
33.15495,1.88515,-0.86615,111.71834,36.07226,2.92726,2.68958,337.81424
21.06088,-1.02811,-2.13032,33.20744,17.22266,1.94298,1.47965,61.33686
100.47710,-1.02572,-2.62226,158.13339,21.47688,-0.41296,1.96863,23.33431
13.93567,-2.45002,-0.57089,81.34879,11.78140,1.33117,2.04851,23.85511
38.81222,-1.05605,2.68694,62.54245,35.01838,-2.01494,-0.49838,133.65761
44.86704,-0.82219,1.02748,60.90572,34.38867,-0.43695,-2.10148,37.72403
33.56110,-3.08486,1.69617,367.66376,26.73780,-4.80115,-1.50981,1626.43982
26.33550,1.36128,2.25757,54.74519,37.31066,-0.25762,-0.03639,38.55563
37.35418,-1.52768,-2.98697,90.10774,31.32431,-0.51478,0.10159,35.56718
33.71592,-1.66059,2.82489,91.91705,53.86121,-1.56634,-0.35954,134.59641
39.19660,3.49486,0.16520,646.27539,34.43316,4.41329,-2.83163,1421.26904
32.79491,-0.18832,2.81466,33.37817,29.58073,1.45572,-0.19667,66.86448
46.69650,1.21554,-2.49645,85.65670,46.53096,1.26478,0.55108,88.98159
38.03741,1.19249,1.17380,68.44350,6.58978,4.25665,-2.10577,232.57660
26.53056,-3.53056,-2.82607,453.30399,12.31272,-0.52884,2.21923,14.07501
26.28578,-0.11729,-0.33812,26.46681,55.90268,-1.76690,-1.45427,168.36676
22.36654,-1.13730,0.14348,38.45962,36.40728,-2.91578,3.12545,337.08255
36.17063,1.94346,-2.06394,128.87790,24.81489,0.41203,0.82172,26.95121
13.68881,1.07855,-2.07194,22.45305,19.32203,4.60540,2.38667,966.42200
36.85908,3.78682,1.94729,813.45544,42.86187,4.23309,-1.37418,1477.54163
32.17825,0.59112,-2.69068,37.96581,41.09583,-0.21570,0.53827,42.05560
21.25503,0.93514,-1.79027,31.24608,18.06469,3.60665,1.27043,333.01871
14.57083,-1.74304,-2.15636,42.90855,9.89624,-5.59205,0.48113,1327.52954
23.96066,-2.25377,-1.90237,115.35339,60.81795,-3.10454,1.73414,679.45044
41.21864,2.37557,-2.62532,223.61322,41.29778,2.64549,0.27490,292.41565
24.59047,-0.85555,3.12643,34.15261,55.16931,-1.56891,-0.01807,138.19038
30.33988,-0.84660,-0.76888,41.87773,26.50341,-2.66725,2.74459,191.74899
64.59203,3.74762,0.39700,1370.75769,34.96264,2.23384,0.07109,165.07193
11.97320,-0.81028,-2.36128,16.12349,4.27936,4.01210,0.45410,118.28300
30.53248,-0.92566,-3.10932,44.57438,29.69552,-2.45680,0.17775,174.50711
43.04960,2.62458,-0.51904,298.57715,33.35658,2.90967,2.93893,306.96930
28.06394,-1.83949,3.01532,90.53716,60.00456,-0.70171,-1.36980,75.39360
46.57848,-1.93936,1.69208,165.30859,33.74498,-2.02426,-1.45050,129.96176
37.39038,-2.40264,-0.61926,208.31654,28.70020,-1.08611,2.84864,47.35905
37.22721,-4.01095,2.59125,1027.79016,36.73043,-4.84889,-0.42143,2343.53174
23.41551,-4.80062,1.17811,1423.58618,19.89316,-2.32646,-1.84043,102.84007
10.30884,1.45516,2.09454,23.29049,18.19677,4.96425,-2.00511,1302.96838
35.96809,1.75694,-1.42872,107.31530,48.62005,2.13969,1.04725,209.41891
41.45752,2.52694,2.08529,261.08084,27.14595,1.75669,-0.97737,80.97423
13.74263,-1.67395,-1.76645,37.93442,64.19322,0.55468,-1.58740,74.32405
47.75389,-1.85995,2.09432,157.08943,20.56741,-3.40002,-1.28895,308.49188
19.73035,-0.27628,1.25613,20.48815,15.10396,-3.29648,-2.26462,204.31512
29.90347,-2.21054,3.04287,138.00865,43.95649,-3.13995,-0.06936,508.70709
36.21838,0.59865,-1.69341,42.90447,71.08298,0.40982,2.01934,77.13615
40.86939,1.72167,-1.10053,117.96178,19.93026,-0.04298,2.26449,19.94867
40.25996,0.94975,-1.27364,59.82442,40.46998,1.44613,1.81627,90.69580
29.44625,3.63470,-0.56082,558.25421,32.11354,2.18373,1.98786,144.38170
42.31701,-0.68319,1.82454,52.58284,35.83553,-0.85033,-1.27404,49.59085
32.80512,-1.78219,-2.24285,100.23787,44.57252,-2.54224,1.02661,284.96997
37.66928,-2.93540,1.47242,355.63937,31.49149,-1.73989,-1.45601,92.46299
17.19386,-1.16300,1.51704,30.19287,30.67826,1.06882,-1.72813,49.93438
24.16682,2.66680,2.44624,174.76537,26.62256,0.61494,-0.80898,31.81684
29.30522,2.43485,-0.29342,168.52979,51.29893,1.88002,2.62841,172.01154
28.57101,-3.82738,2.77389,656.61505,28.24390,-2.08275,0.22761,115.10922
27.80055,-0.26705,0.59855,28.79773,48.98048,-1.31575,3.06809,97.85857
29.80128,3.12671,-1.16766,340.37198,43.93586,4.12079,2.25437,1353.75232
14.52445,-2.03318,1.49406,56.42211,22.13154,0.82072,-1.65332,30.01317
21.89598,1.65792,-1.27388,59.54528,30.96206,-0.31635,2.20094,32.52431
20.84138,-1.95980,-1.40863,75.43301,19.63675,-4.58942,1.68661,966.59204
6.57129,-3.09703,0.20586,72.86701,12.06710,1.27077,-2.39603,23.19425
