epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,6.066902229309082,6.066902229309082,6.189542797088623,6.189542797088623
1,5.17016668510437,5.17016668510437,  6.001828945159912,6.001828945159912
2,4.847472257614136,4.847472257614136,5.658529434204102,5.658529434204102
3,4.740487791061401,4.740487791061401,5.473116268157959,5.473116268157959
4,4.618158569335938,4.618158569335938,5.2049907875061034,5.2049907875061034
5,4.564260856628418,4.564260856628418,4.758180953979492,4.758180953979492
6,4.508894451141358,4.508894451141358,4.86179638671875,4.86179638671875
7,4.466396040916443,4.466396040916443,4.676166442871094,4.676166442871094
8,4.413420291900635,4.413420291900635,4.900115921020507,4.900115921020507
9,4.410566724777222,4.410566724777222,4.927758323669433,4.927758323669433
10,4.394624786376953,4.394624786376953,4.702362506866455,4.702362506866455
11,4.3851475887298585,4.3851475887298585,4.792807849884033,4.792807849884033
12,4.299390481948852,4.299390481948852,4.821751945495605,4.821751945495605
13,4.289589628219605,4.289589628219605,4.704967529296875,4.704967529296875
14,4.266246244430542,4.266246244430542,4.833228816986084,4.833228816986084
15,4.271889019012451,4.271889019012451,4.771522228240967,4.771522228240967
16,4.244627510070801,4.244627510070801,4.70676403427124,4.70676403427124
17,4.236263927459717,4.236263927459717,4.900522514343262,4.900522514343262
