epoch,acc,loss,val_acc,val_loss
0,0.694778153157449,0.5934446783194671,0.8153581081081082,0.481794404261821
1,0.7734234234234234,0.529824544685381,0.8482871621621622,0.435669854937373
2,0.7954876126126126,0.5054365210146518,0.8679797297297297,0.3969101072775351
3,0.8101351351351351,0.4876534587241508,0.8900439189189189,0.3709827034215669
4,0.8238209459416501,0.4698959297532434,0.9080304054054054,0.340106315612793
5,0.835108108112404,0.44553118649259343,0.9246216216216216,0.29938727864059245
6,0.8416554054011096,0.43019982124663686,0.9312027027027027,0.30215225025125453
7,0.8498333333376291,0.41285971069121147,0.9458918918918919,0.2474065177247331
8,0.8655427927970887,0.3694197746203826,0.9585202702702703,0.210375287416819
9,0.8674673423423424,0.3595993850617795,0.9530979729729729,0.22721151511089221
10,0.8538130630587673,0.3897372345473315,0.9460101351351351,0.2397810148612873
11,0.8382252252209293,0.4145745834573969,0.9548108108108108,0.25061798334121704
12,0.8074707207207207,0.453110408883911,0.9394527027027028,0.3049489385888383
13,0.8110844594594595,0.44745998298155293,0.9446587837837838,0.2811797450813087
14,0.7819403153196112,0.48644218996194033,0.886125,0.4285914880262839
15,0.755368243247539,0.5095793055714788,0.9184527027027027,0.4054229079259408
16,0.7712713963921005,0.4844506040500091,0.9352905405405405,0.3393555637694694
